;================================================= ~~ LFFF/LFPG/Gates ~~ =================================================;
N049.00.49.270:E002.30.17.740:LFPG Gates:I04
N049.00.54.080:E002.32.20.000:LFPG Gates:Y01
N049.00.55.060:E002.32.17.050:LFPG Gates:Y02
N049.00.54.840:E002.32.19.420:LFPG Gates:Y03
N049.00.52.810:E002.32.15.940:LFPG Gates:Y04
N049.00.51.150:E002.32.16.450:LFPG Gates:Y05
N049.00.50.470:E002.32.17.490:LFPG Gates:Y06
N049.00.51.070:E002.32.21.020:LFPG Gates:Y07
N049.00.50.300:E002.32.18.990:LFPG Gates:Y08
N049.00.49.090:E002.32.20.640:LFPG Gates:Z01
N049.00.48.980:E002.32.16.940:LFPG Gates:Z02
N049.00.49.400:E002.32.19.160:LFPG Gates:Z03
N049.00.46.610:E002.32.18.420:LFPG Gates:Z04
N049.00.45.250:E002.32.19.750:LFPG Gates:Z05
N049.00.45.070:E002.32.23.590:LFPG Gates:Z06
N049.00.46.280:E002.32.24.610:LFPG Gates:Z07
N049.00.46.410:E002.32.23.200:LFPG Gates:Z09
N049.00.54.126:E002.33.38.737:LFPG Gates:PH1
N049.00.54.241:E002.33.41.028:LFPG Gates:PH2
;============================================== ~~ LFFF/LFPG/Points VFR ~~ ===============================================;
N049.05.12.000:E002.33.06.000:LFPG Points VFR:RH1
N049.02.59.000:E002.32.51.000:LFPG Points VFR:N
N048.58.16.000:E002.35.11.000:LFPG Points VFR:S
N048.57.21.000:E002.36.55.000:LFPG Points VFR:ET
;============================================== ~~ LFFF/LFPG/TORA ~~ ===============================================;
N048.59.43.000:E002.32.36.000:LFPG TORA:08L 4142m
N048.59.42.000:E002.32.36.000:LFPG TORA:T2 3969m
N048.59.41.000:E002.32.36.000:LFPG TORA:T3 3751m
N048.59.40.000:E002.32.36.000:LFPG TORA:T4 3589m
N048.59.39.000:E002.32.36.000:LFPG TORA:T5 3408m
N048.59.38.000:E002.32.36.000:LFPG TORA:T6 3166m
N049.00.03.000:E002.36.54.000:LFPG TORA:26R 4142m
N049.00.02.000:E002.36.54.000:LFPG TORA:T10 3468m
N049.00.01.000:E002.36.54.000:LFPG TORA:T11 3616m
N049.00.00.000:E002.36.54.000:LFPG TORA:T12 3737m
N048.59.59.000:E002.36.54.000:LFPG TORA:T 9 3241m
N049.01.26.000:E002.31.02.000:LFPG TORA:09R 4200m
N049.01.27.000:E002.31.02.000:LFPG TORA:D3 3631m
N049.01.28.000:E002.31.02.000:LFPG TORA:D4 3463m
N049.01.29.000:E002.31.02.000:LFPG TORA:D5 3180m
N049.01.30.000:E002.31.02.000:LFPG TORA:D6 2962m
N049.01.33.000:E002.34.09.000:LFPG TORA:27L 4200m
N049.01.34.000:E002.34.09.000:LFPG TORA:Q2 3182m
N049.01.35.000:E002.34.09.000:LFPG TORA:Q3 3436m
N049.01.36.000:E002.34.09.000:LFPG TORA:Q4 3598m
N049.01.37.000:E002.34.09.000:LFPG TORA:Q5 3874m
;=============================================== ~~ LFFF/LFPG/Taxiways ~~ ================================================;
N049.01.29.259:E002.31.32.025:LFPG Taxiways:09L
N049.01.35.910:E002.33.38.768:LFPG Taxiways:27R
N049.01.14.357:E002.30.49.590:LFPG Taxiways:09R
N049.01.25.041:E002.34.09.127:LFPG Taxiways:27L
N048.59.44.606:E002.33.11.600:LFPG Taxiways:08L
N048.59.54.979:E002.36.28.075:LFPG Taxiways:26R
N048.59.34.550:E002.33.59.670:LFPG Taxiways:08R
N048.59.41.411:E002.36.05.683:LFPG Taxiways:26L
N049.01.26.474:E002.31.28.844:LFPG Taxiways:Z1
N049.01.27.011:E002.31.37.730:LFPG Taxiways:Z2
N049.01.28.161:E002.32.00.063:LFPG Taxiways:Z3
N049.01.30.846:E002.32.47.767:LFPG Taxiways:Z5
N049.01.31.766:E002.33.12.906:LFPG Taxiways:Z6
N049.01.32.993:E002.33.32.081:LFPG Taxiways:Z7
N049.01.33.683:E002.33.41.669:LFPG Taxiways:Z8
N049.01.22.639:E002.31.30.130:LFPG Taxiways:K
N049.01.23.483:E002.31.44.512:LFPG Taxiways:K
N049.01.28.085:E002.33.11.854:LFPG Taxiways:K
N049.01.28.928:E002.33.28.340:LFPG Taxiways:K
N049.01.29.618:E002.33.38.044:LFPG Taxiways:K
N049.01.18.038:E002.31.23.115:LFPG Taxiways:K1
N049.01.18.728:E002.31.37.379:LFPG Taxiways:K2
N049.01.19.342:E002.31.48.136:LFPG Taxiways:K3
N049.01.24.557:E002.33.22.143:LFPG Taxiways:K6
N049.01.25.094:E002.33.34.420:LFPG Taxiways:K7
N049.01.25.554:E002.33.42.020:LFPG Taxiways:K8
N049.01.12.399:E002.30.47.121:LFPG Taxiways:D1
N049.01.13.875:E002.31.15.824:LFPG Taxiways:D3
N049.01.14.384:E002.31.24.125:LFPG Taxiways:D4
N049.01.15.096:E002.31.38.011:LFPG Taxiways:D5
N049.01.15.707:E002.31.48.639:LFPG Taxiways:D6
N049.01.20.703:E002.33.22.580:LFPG Taxiways:Q2
N049.01.21.448:E002.33.35.080:LFPG Taxiways:Q3
N049.01.22.069:E002.33.43.603:LFPG Taxiways:Q4
N049.01.22.690:E002.33.57.240:LFPG Taxiways:Q5
N049.01.23.312:E002.34.13.338:LFPG Taxiways:Q6
N049.01.12.107:E002.30.54.640:LFPG Taxiways:Y1A
N049.01.14.990:E002.31.32.897:LFPG Taxiways:Y1
N049.01.11.301:E002.31.20.679:LFPG Taxiways:Y1
N049.01.14.036:E002.31.54.328:LFPG Taxiways:Y2
N049.01.15.245:E002.32.11.589:LFPG Taxiways:Y4
N049.01.13.018:E002.32.24.292:LFPG Taxiways:Y4
N049.01.16.453:E002.32.21.964:LFPG Taxiways:Y3
N049.01.13.018:E002.32.11.201:LFPG Taxiways:Y3
N049.01.15.881:E002.32.39.904:LFPG Taxiways:Y5
N049.01.17.789:E002.33.07.456:LFPG Taxiways:Y6
N049.01.06.719:E002.30.58.815:LFPG Taxiways:D
N049.01.04.605:E002.31.21.202:LFPG Taxiways:DY
N049.01.07.381:E002.31.12.003:LFPG Taxiways:D
N049.01.07.788:E002.31.20.536:LFPG Taxiways:D
N049.01.05.345:E002.31.31.319:LFPG Taxiways:D
N049.01.06.234:E002.31.45.776:LFPG Taxiways:D
N049.01.06.668:E002.31.58.937:LFPG Taxiways:D
N049.01.07.737:E002.32.19.495:LFPG Taxiways:D
N049.01.08.449:E002.32.32.295:LFPG Taxiways:D
N049.01.09.299:E002.32.45.786:LFPG Taxiways:D
N049.01.09.839:E002.32.58.529:LFPG Taxiways:D
N049.00.59.370:E002.30.53.720:LFPG Taxiways:DE-ICE 11
N049.01.00.010:E002.31.06.250:LFPG Taxiways:DE-ICE 12
N049.01.00.720:E002.31.20.390:LFPG Taxiways:DE-ICE 13
N049.01.06.770:E002.33.14.360:LFPG Taxiways:DE-ICE 21
N049.01.07.580:E002.33.29.030:LFPG Taxiways:DE-ICE 22
N049.01.07.820:E002.33.42.320:LFPG Taxiways:DE-ICE 23
N048.59.52.290:E002.32.42.030:LFPG Taxiways:DE-ICE 31
N049.00.01.420:E002.35.39.740:LFPG Taxiways:DE-ICE 41
N049.00.16.810:E002.35.47.960:LFPG Taxiways:DE-ICE 42
N049.00.08.260:E002.35.50.320:LFPG Taxiways:DE-ICE 43
N049.00.08.960:E002.36.03.300:LFPG Taxiways:DE-ICE 44
N049.01.12.479:E002.32.43.968:LFPG Taxiways:Q
N049.01.13.115:E002.32.58.150:LFPG Taxiways:Q
N049.01.13.751:E002.33.09.665:LFPG Taxiways:Q
N049.01.14.546:E002.33.27.363:LFPG Taxiways:Q
N049.01.15.500:E002.33.42.030:LFPG Taxiways:Q
N049.01.12.797:E002.33.53.545:LFPG Taxiways:Q
N049.01.13.592:E002.34.06.879:LFPG Taxiways:Q
N049.01.14.785:E002.34.29.424:LFPG Taxiways:Q
N049.01.12.797:E002.34.47.243:LFPG Taxiways:Q
N049.01.01.427:E002.34.52.819:LFPG Taxiways:Q
N049.00.47.041:E002.34.54.515:LFPG Taxiways:Q
N049.00.36.357:E002.34.56.148:LFPG Taxiways:Q
N049.00.57.353:E002.30.05.424:LFPG Taxiways:B
N049.00.58.719:E002.30.32.507:LFPG Taxiways:B
N049.01.00.707:E002.31.06.031:LFPG Taxiways:B
N049.01.01.576:E002.31.21.561:LFPG Taxiways:B
N049.01.02.252:E002.31.36.516:LFPG Taxiways:B
N049.01.03.311:E002.31.57.183:LFPG Taxiways:B
N049.01.04.550:E002.32.19.160:LFPG Taxiways:B
N049.01.05.660:E002.32.39.220:LFPG Taxiways:B
N049.01.06.654:E002.32.59.576:LFPG Taxiways:B
N049.01.07.544:E002.33.12.473:LFPG Taxiways:B
N049.01.08.499:E002.33.28.085:LFPG Taxiways:B
N049.01.09.325:E002.33.43.989:LFPG Taxiways:B
N049.01.09.900:E002.33.54.026:LFPG Taxiways:B
N049.01.10.397:E002.34.07.852:LFPG Taxiways:B
N049.01.11.515:E002.34.30.201:LFPG Taxiways:B
N049.01.10.397:E002.34.44.027:LFPG Taxiways:B
N049.01.01.328:E002.34.47.815:LFPG Taxiways:B
N049.00.46.172:E002.34.49.709:LFPG Taxiways:B
N049.00.35.985:E002.34.51.035:LFPG Taxiways:B
N049.00.52.351:E002.34.35.720:LFPG Taxiways:B1
N049.00.54.164:E002.34.35.380:LFPG Taxiways:B2
N049.01.02.180:E002.30.45.710:LFPG Taxiways:BD1
N049.01.04.770:E002.30.55.930:LFPG Taxiways:BD2
N049.01.05.010:E002.31.02.370:LFPG Taxiways:BD3
N049.01.05.470:E002.31.08.890:LFPG Taxiways:BD4
N049.01.05.820:E002.31.16.740:LFPG Taxiways:BD5
N049.01.03.198:E002.31.25.332:LFPG Taxiways:BD6
N049.01.05.020:E002.31.45.100:LFPG Taxiways:BD7
N049.01.03.840:E002.31.48.540:LFPG Taxiways:BD7
N049.01.05.662:E002.31.48.280:LFPG Taxiways:BD8
N049.01.03.720:E002.31.45.950:LFPG Taxiways:BD8
N049.01.06.880:E002.32.28.750:LFPG Taxiways:BD9
N049.01.07.260:E002.32.35.820:LFPG Taxiways:BD10
N049.01.10.325:E002.32.28.927:LFPG Taxiways:QD1
N049.01.10.579:E002.32.35.230:LFPG Taxiways:QD2
N049.01.11.406:E002.32.54.139:LFPG Taxiways:QB1
N049.01.08.099:E002.32.54.527:LFPG Taxiways:QB1
N049.01.11.788:E002.33.02.479:LFPG Taxiways:QB2
N049.01.08.671:E002.33.03.546:LFPG Taxiways:QB2
N049.01.12.340:E002.33.16.370:LFPG Taxiways:QB3
N049.01.12.720:E002.33.23.820:LFPG Taxiways:QB4
N049.01.13.130:E002.33.31.290:LFPG Taxiways:QB5
N049.01.13.540:E002.33.38.730:LFPG Taxiways:QB6
N049.01.12.551:E002.33.47.474:LFPG Taxiways:QB7
N049.01.11.533:E002.33.58.916:LFPG Taxiways:QB8
N049.01.12.518:E002.34.15.201:LFPG Taxiways:QB9
N049.01.13.015:E002.34.41.906:LFPG Taxiways:QB10
N049.01.09.288:E002.34.47.966:LFPG Taxiways:QB11
N049.00.53.884:E002.34.51.375:LFPG Taxiways:QB12
N049.00.48.110:E002.29.37.134:LFPG Taxiways:M
N049.00.49.540:E002.29.49.594:LFPG Taxiways:M
N049.00.50.562:E002.30.05.999:LFPG Taxiways:M
N049.00.51.720:E002.30.23.131:LFPG Taxiways:M
N049.00.52.809:E002.30.40.782:LFPG Taxiways:M
N049.00.53.354:E002.30.56.461:LFPG Taxiways:M
N049.00.55.193:E002.31.26.572:LFPG Taxiways:M
N049.00.59.756:E002.31.50.972:LFPG Taxiways:M
N049.01.04.460:E002.31.37.160:LFPG Taxiways:MD1
N049.01.01.050:E002.31.41.190:LFPG Taxiways:MD1
N049.01.05.014:E002.31.39.143:LFPG Taxiways:MD2
N049.01.00.497:E002.31.38.517:LFPG Taxiways:MD2
N049.00.50.950:E002.29.43.750:LFPG Taxiways:BM1
N049.00.55.620:E002.29.45.430:LFPG Taxiways:BM1
N049.00.53.860:E002.29.56.200:LFPG Taxiways:BM2
N049.00.54.600:E002.30.15.540:LFPG Taxiways:BM3
N049.00.56.210:E002.30.46.520:LFPG Taxiways:BM4
N049.01.00.369:E002.31.35.086:LFPG Taxiways:BM5
N049.01.01.390:E002.31.43.750:LFPG Taxiways:BM6
N049.01.04.090:E002.32.22.104:LFPG Taxiways:A
N049.00.55.469:E002.32.10.767:LFPG Taxiways:A
N049.00.47.432:E002.32.12.013:LFPG Taxiways:A
N049.00.42.761:E002.32.16.249:LFPG Taxiways:A
N049.00.42.665:E002.32.32.156:LFPG Taxiways:A
N049.00.43.074:E002.32.42.435:LFPG Taxiways:A
N049.00.47.228:E002.32.48.665:LFPG Taxiways:A
N049.01.01.054:E002.32.44.097:LFPG Taxiways:A
N049.01.04.391:E002.32.31.429:LFPG Taxiways:A
N049.01.00.860:E002.32.13.660:LFPG Taxiways:A-1
N049.01.04.340:E002.32.39.980:LFPG Taxiways:A-2
N049.01.05.617:E002.32.08.690:LFPG Taxiways:DA1
N049.01.02.200:E002.32.09.130:LFPG Taxiways:DA1
N049.00.47.435:E002.32.26.265:LFPG Taxiways:A3
N049.00.52.397:E002.32.23.424:LFPG Taxiways:A3
N049.00.56.538:E002.32.29.737:LFPG Taxiways:A3
N049.00.53.160:E002.32.37.462:LFPG Taxiways:A3
N049.00.44.460:E002.32.36.132:LFPG Taxiways:A3
N049.00.45.390:E002.33.18.293:LFPG Taxiways:A4
N049.00.44.300:E002.32.57.810:LFPG Taxiways:NA1
N049.00.59.698:E002.32.55.620:LFPG Taxiways:N
N049.00.52.113:E002.32.56.683:LFPG Taxiways:N
N049.00.45.793:E002.32.58.876:LFPG Taxiways:N
N049.00.40.214:E002.33.01.202:LFPG Taxiways:N
N049.00.26.547:E002.33.07.514:LFPG Taxiways:N
N049.00.18.885:E002.33.10.596:LFPG Taxiways:N
N049.00.14.096:E002.33.12.706:LFPG Taxiways:N
N049.00.06.966:E002.33.15.788:LFPG Taxiways:N
N048.59.57.921:E002.33.19.337:LFPG Taxiways:N
N048.59.54.596:E002.33.24.001:LFPG Taxiways:N
N048.59.53.265:E002.33.31.302:LFPG Taxiways:N
N049.01.03.310:E002.30.56.310:LFPG Taxiways:NW1
N049.01.03.650:E002.31.02.550:LFPG Taxiways:NW2
N049.01.04.010:E002.31.09.070:LFPG Taxiways:NW3
N049.01.04.440:E002.31.16.910:LFPG Taxiways:NW4
N049.01.10.770:E002.33.16.443:LFPG Taxiways:NE1
N049.01.11.088:E002.33.23.910:LFPG Taxiways:NE2
N049.01.11.533:E002.33.31.376:LFPG Taxiways:NE3
N049.01.11.979:E002.33.38.746:LFPG Taxiways:NE4
N049.00.59.437:E002.33.05.314:LFPG Taxiways:F
N049.00.52.520:E002.33.06.450:LFPG Taxiways:F
N049.00.46.880:E002.33.08.234:LFPG Taxiways:F
N049.00.40.601:E002.33.06.125:LFPG Taxiways:F
N049.00.28.257:E002.33.11.641:LFPG Taxiways:F
N049.00.18.254:E002.33.15.859:LFPG Taxiways:F
N049.00.07.506:E002.33.20.727:LFPG Taxiways:F
N049.00.44.470:E002.33.01.865:LFPG Taxiways:FN1
N049.00.25.333:E002.33.10.379:LFPG Taxiways:FN2
N049.00.19.544:E002.33.13.390:LFPG Taxiways:FN3
N049.00.13.110:E002.33.15.680:LFPG Taxiways:FN4
N049.00.01.414:E002.33.20.918:LFPG Taxiways:FN5
N049.00.26.384:E002.33.20.513:LFPG Taxiways:E
N049.00.28.672:E002.33.45.599:LFPG Taxiways:E
N049.00.29.871:E002.34.00.883:LFPG Taxiways:E
N049.00.30.525:E002.34.13.675:LFPG Taxiways:E
N049.00.31.124:E002.34.25.304:LFPG Taxiways:E
N049.00.31.669:E002.34.34.857:LFPG Taxiways:E
N049.00.32.214:E002.34.44.077:LFPG Taxiways:E
N049.00.32.922:E002.34.53.879:LFPG Taxiways:E
N049.00.33.358:E002.35.04.345:LFPG Taxiways:E
N049.00.33.794:E002.35.15.143:LFPG Taxiways:E
N049.00.35.428:E002.35.31.092:LFPG Taxiways:E
N049.00.36.055:E002.35.42.814:LFPG Taxiways:E
N049.00.27.610:E002.35.43.853:LFPG Taxiways:E
N049.00.19.233:E002.35.44.787:LFPG Taxiways:E
N049.00.12.626:E002.35.45.618:LFPG Taxiways:E
N049.00.08.199:E002.35.46.137:LFPG Taxiways:E
N049.00.29.656:E002.34.54.061:LFPG Taxiways:G
N049.00.30.004:E002.35.03.830:LFPG Taxiways:G
N049.00.31.268:E002.35.26.556:LFPG Taxiways:G
N049.00.31.791:E002.35.35.860:LFPG Taxiways:G
N049.00.30.179:E002.35.38.451:LFPG Taxiways:G
N049.00.25.602:E002.35.38.983:LFPG Taxiways:G
N049.00.18.323:E002.35.40.046:LFPG Taxiways:G
N049.00.12.438:E002.35.40.777:LFPG Taxiways:G
N049.00.08.303:E002.35.41.286:LFPG Taxiways:G
N049.00.13.298:E002.33.23.422:LFPG Taxiways:G1
N049.00.16.070:E002.33.23.183:LFPG Taxiways:G2
N049.00.20.328:E002.33.28.272:LFPG Taxiways:G3
N049.00.21.853:E002.33.42.492:LFPG Taxiways:G3
N049.00.22.943:E002.34.02.495:LFPG Taxiways:G3
N049.00.24.009:E002.34.14.934:LFPG Taxiways:G3
N049.00.23.520:E002.34.18.780:LFPG Taxiways:G3 East
N049.00.25.610:E002.34.12.720:LFPG Taxiways:G3 West
N049.00.27.912:E002.34.27.082:LFPG Taxiways:G4
N049.00.28.871:E002.34.44.293:LFPG Taxiways:G4
N049.00.20.630:E002.33.22.720:LFPG Taxiways:TB1
N049.00.26.000:E002.33.52.290:LFPG Taxiways:TB2
N049.00.28.865:E002.34.19.680:LFPG Taxiways:TF1
N049.00.30.329:E002.34.32.332:LFPG Taxiways:TF2
N049.00.30.643:E002.34.38.233:LFPG Taxiways:TF3
N049.00.29.093:E002.34.48.678:LFPG Taxiways:TF4
N049.00.26.661:E002.34.51.828:LFPG Taxiways:TF5
N049.00.26.922:E002.34.56.852:LFPG Taxiways:TF6
N049.00.21.778:E002.34.21.002:LFPG Taxiways:E1
N049.00.24.121:E002.34.36.120:LFPG Taxiways:E2
N049.00.23.903:E002.34.51.986:LFPG Taxiways:E3
N049.00.24.121:E002.34.57.052:LFPG Taxiways:E4
N049.00.22.868:E002.35.12.170:LFPG Taxiways:E5
N049.00.08.865:E002.35.14.247:LFPG Taxiways:E5
N049.00.22.977:E002.35.18.483:LFPG Taxiways:E6
N049.00.09.083:E002.35.19.978:LFPG Taxiways:E6
N049.00.25.102:E002.35.33.850:LFPG Taxiways:E7
N049.00.12.025:E002.35.35.345:LFPG Taxiways:E8
N049.00.07.340:E002.35.35.927:LFPG Taxiways:E8
N049.00.30.290:E002.35.48.760:LFPG Taxiways:E9
N049.00.13.987:E002.35.49.716:LFPG Taxiways:E10
N049.00.14.695:E002.35.56.942:LFPG Taxiways:E11
N049.00.15.295:E002.36.06.827:LFPG Taxiways:E12
N049.00.15.785:E002.36.16.546:LFPG Taxiways:E13
N049.00.31.095:E002.34.51.487:LFPG Taxiways:GE1
N049.00.31.313:E002.34.57.136:LFPG Taxiways:GE2
N049.00.32.076:E002.35.10.343:LFPG Taxiways:GE3
N049.00.32.566:E002.35.20.311:LFPG Taxiways:GE4
N049.00.33.983:E002.35.38.087:LFPG Taxiways:GE5
N049.00.32.021:E002.35.40.828:LFPG Taxiways:GE6
N049.00.23.140:E002.35.41.908:LFPG Taxiways:GE7
N049.00.14.750:E002.35.43.071:LFPG Taxiways:GE8
N049.00.10.336:E002.35.43.486:LFPG Taxiways:GE9
N049.00.06.359:E002.35.43.901:LFPG Taxiways:GE10
N049.00.14.840:E002.35.48.670:LFPG Taxiways:JN
N049.00.13.380:E002.35.49.370:LFPG Taxiways:JS
N049.00.12.700:E002.33.21.000:LFPG Taxiways:TG1
N049.00.16.510:E002.33.19.390:LFPG Taxiways:TG2
N049.00.54.950:E002.34.46.330:LFPG Taxiways:TH1
N049.00.28.970:E002.35.12.420:LFPG Taxiways:TK1
N049.00.29.352:E002.35.17.237:LFPG Taxiways:TK2
N049.00.02.600:E002.35.15.410:LFPG Taxiways:TK3
N049.00.02.927:E002.35.21.224:LFPG Taxiways:TK4
N049.00.30.387:E002.35.33.684:LFPG Taxiways:TL1
N049.00.28.044:E002.35.36.924:LFPG Taxiways:TL2
N049.00.22.759:E002.35.37.588:LFPG Taxiways:TL3
N049.00.14.532:E002.35.38.585:LFPG Taxiways:TL4
N049.00.10.173:E002.35.39.083:LFPG Taxiways:TL5
N049.00.05.814:E002.35.39.582:LFPG Taxiways:TL6
N049.00.03.744:E002.35.37.173:LFPG Taxiways:TL7
N049.00.36.240:E002.35.44.300:LFPG Taxiways:TJ1
N049.00.23.340:E002.35.45.970:LFPG Taxiways:TJ2
N049.00.15.018:E002.35.47.142:LFPG Taxiways:TJ3
N049.00.11.287:E002.35.47.887:LFPG Taxiways:TJ4
N049.00.09.822:E002.35.48.152:LFPG Taxiways:TJ5
N048.59.58.560:E002.32.50.600:LFPG Taxiways:TM1
N048.59.53.770:E002.32.41.880:LFPG Taxiways:TM2
N049.00.45.870:E002.33.09.680:LFPG Taxiways:TQ1
N049.00.43.420:E002.33.13.040:LFPG Taxiways:TQ1
N049.00.59.010:E002.31.47.050:LFPG Taxiways:TU1
N049.00.59.220:E002.32.05.440:LFPG Taxiways:TU1
N049.01.01.260:E002.32.07.570:LFPG Taxiways:TU2
N049.01.03.080:E002.32.11.660:LFPG Taxiways:TU3
N049.01.05.040:E002.32.16.470:LFPG Taxiways:TU3
N049.01.06.570:E002.32.26.740:LFPG Taxiways:TU4
N049.01.07.100:E002.32.38.540:LFPG Taxiways:TU5
N049.01.06.540:E002.32.40.950:LFPG Taxiways:TU6
N049.01.07.400:E002.32.51.890:LFPG Taxiways:TU6
N049.00.43.520:E002.32.56.610:LFPG Taxiways:TU7
N049.00.08.083:E002.36.10.351:LFPG Taxiways:P
N049.00.07.636:E002.36.03.342:LFPG Taxiways:P
N049.00.07.189:E002.35.55.945:LFPG Taxiways:P
N049.00.06.614:E002.35.49.520:LFPG Taxiways:P
N049.00.07.301:E002.33.25.831:LFPG Taxiways:P1
N049.00.02.684:E002.33.31.126:LFPG Taxiways:P1
N049.00.03.378:E002.33.45.329:LFPG Taxiways:P1
N049.00.04.359:E002.34.04.704:LFPG Taxiways:P1
N049.00.02.071:E002.34.29.186:LFPG Taxiways:P2
N049.00.03.174:E002.34.48.748:LFPG Taxiways:P2
N049.00.07.424:E002.34.59.463:LFPG Taxiways:P3
N049.00.11.633:E002.34.52.797:LFPG Taxiways:P3
N049.00.11.878:E002.35.53.474:LFPG Taxiways:P4
N049.00.12.327:E002.36.02.694:LFPG Taxiways:P4
N049.00.12.940:E002.36.13.409:LFPG Taxiways:P4
N049.00.11.510:E002.36.13.534:LFPG Taxiways:P5
N049.00.11.020:E002.36.02.632:LFPG Taxiways:P5
N049.00.10.529:E002.35.53.661:LFPG Taxiways:P5
N049.00.03.110:E002.33.25.910:LFPG Taxiways:TA1
N049.00.00.570:E002.33.56.710:LFPG Taxiways:TA2
N049.00.01.180:E002.34.11.630:LFPG Taxiways:TA3
N048.59.59.578:E002.34.22.287:LFPG Taxiways:TE1
N049.00.00.355:E002.34.38.547:LFPG Taxiways:TE2
N049.00.01.703:E002.34.59.914:LFPG Taxiways:TE3
N048.59.59.826:E002.33.23.859:LFPG Taxiways:R
N048.59.57.527:E002.33.26.196:LFPG Taxiways:R
N048.59.56.059:E002.33.32.523:LFPG Taxiways:R
N048.59.56.123:E002.33.41.186:LFPG Taxiways:R
N048.59.56.697:E002.33.51.017:LFPG Taxiways:R
N048.59.57.464:E002.34.04.547:LFPG Taxiways:R
N048.59.58.230:E002.34.18.077:LFPG Taxiways:R
N048.59.58.868:E002.34.31.218:LFPG Taxiways:R
N048.59.59.954:E002.34.49.907:LFPG Taxiways:R
N049.00.00.784:E002.35.06.844:LFPG Taxiways:R
N049.00.01.550:E002.35.18.427:LFPG Taxiways:R
N049.00.01.997:E002.35.29.621:LFPG Taxiways:R
N049.00.02.635:E002.35.38.869:LFPG Taxiways:R
N049.00.02.827:E002.35.44.514:LFPG Taxiways:R
N049.00.03.082:E002.35.50.355:LFPG Taxiways:R
N049.00.03.465:E002.35.56.779:LFPG Taxiways:R
N049.00.03.785:E002.36.04.079:LFPG Taxiways:R
N049.00.04.359:E002.36.11.477:LFPG Taxiways:R
N049.00.04.870:E002.36.24.715:LFPG Taxiways:R1
N048.59.57.438:E002.33.22.331:LFPG Taxiways:RN1
N048.59.55.344:E002.33.28.561:LFPG Taxiways:RN2
N049.01.03.170:E002.33.00.090:LFPG Taxiways:RN
N049.00.49.060:E002.33.02.650:LFPG Taxiways:RS
N049.00.04.359:E002.35.41.847:LFPG Taxiways:RP10
N049.00.04.678:E002.35.46.909:LFPG Taxiways:RP11
N049.00.05.125:E002.35.53.333:LFPG Taxiways:RP12
N049.00.05.572:E002.35.59.465:LFPG Taxiways:RP13
N049.00.06.019:E002.36.07.739:LFPG Taxiways:RP14
N049.00.06.530:E002.36.13.774:LFPG Taxiways:RP15
N048.59.54.527:E002.33.36.669:LFPG Taxiways:RT1
N048.59.54.782:E002.33.45.624:LFPG Taxiways:RT2
N048.59.55.421:E002.33.57.305:LFPG Taxiways:RT3
N048.59.56.251:E002.34.12.295:LFPG Taxiways:RT4
N048.59.58.677:E002.34.58.337:LFPG Taxiways:RT5
N048.59.59.634:E002.35.14.495:LFPG Taxiways:RT7
N049.00.00.145:E002.35.24.229:LFPG Taxiways:RT8
N049.00.00.784:E002.35.35.715:LFPG Taxiways:RT9
N049.00.01.103:E002.35.42.334:LFPG Taxiways:RT10
N049.00.01.294:E002.35.47.103:LFPG Taxiways:RT11
N049.00.01.550:E002.35.53.820:LFPG Taxiways:RT12
N049.00.01.933:E002.35.59.952:LFPG Taxiways:RT13
N049.00.02.380:E002.36.08.129:LFPG Taxiways:RT14
N049.00.02.635:E002.36.14.066:LFPG Taxiways:RT15
N048.59.49.770:E002.33.01.260:LFPG Taxiways:T
N048.59.50.060:E002.33.06.990:LFPG Taxiways:T
N048.59.50.370:E002.33.13.760:LFPG Taxiways:T
N048.59.50.880:E002.33.22.250:LFPG Taxiways:T
N048.59.52.110:E002.33.30.900:LFPG Taxiways:T
N048.59.52.866:E002.33.41.442:LFPG Taxiways:T
N048.59.53.398:E002.33.51.784:LFPG Taxiways:T
N048.59.54.329:E002.34.06.994:LFPG Taxiways:T
N048.59.55.261:E002.34.25.246:LFPG Taxiways:T
N048.59.56.724:E002.34.52.420:LFPG Taxiways:T
N048.59.57.522:E002.35.07.021:LFPG Taxiways:T
N048.59.58.187:E002.35.19.189:LFPG Taxiways:T
N048.59.58.852:E002.35.31.154:LFPG Taxiways:T
N048.59.59.938:E002.35.51.039:LFPG Taxiways:T
N049.00.00.482:E002.36.05.056:LFPG Taxiways:T
N049.00.00.959:E002.36.11.597:LFPG Taxiways:T
N048.59.58.996:E002.33.09.901:LFPG Taxiways:U
N048.59.58.677:E002.33.02.990:LFPG Taxiways:U
N048.59.58.230:E002.32.56.176:LFPG Taxiways:U
N048.59.57.719:E002.32.42.646:LFPG Taxiways:U
N048.59.56.697:E002.32.21.037:LFPG Taxiways:U
N048.59.49.930:E002.32.07.507:LFPG Taxiways:U
N048.59.38.820:E002.31.58.844:LFPG Taxiways:U
N048.59.27.838:E002.32.00.206:LFPG Taxiways:U
N048.59.55.931:E002.33.10.874:LFPG Taxiways:C
N048.59.55.484:E002.33.03.963:LFPG Taxiways:C
N048.59.55.101:E002.32.57.052:LFPG Taxiways:C
N048.59.54.399:E002.32.43.619:LFPG Taxiways:C
N048.59.53.377:E002.32.24.152:LFPG Taxiways:C
